name,type1,type2,hp,atk,def,spa,spd,spe,ability1,ability2,ability3,moveset
Ursaring,Normal,NULL,90,130,75,75,75,55,Guts,Quick Feet,Unnerve,"aerialace, attract, avalanche, bodyslam, brickbreak, bulkup, bulldoze, captivate, confide, counter, covet, curse, cut, defensecurl, dig, doubleedge, doubleteam, dynamicpunch, earthquake, endure, facade, faketears, feintattack, firepunch, fling, focusblast, focuspunch, frustration, furycutter, furyswipes, gigaimpact, gunkshot, hammerarm, headbutt, hiddenpower, honeclaws, hyperbeam, hypervoice, icepunch, laserfocus, lastresort, leer, lick, lowkick, megakick, megapunch, metronome, mimic, mudslap, naturalgift, payback, playnice, poweruppunch, protect, raindance, rest, retaliate, return, roar, rockclimb, rockslide, rocksmash, rocktomb, rollout, round, scaryface, scratch, secretpower, seedbomb, seismictoss, shadowclaw, slash, sleeptalk, smackdown, snore, stompingtantrum, stoneedge, strength, substitute, sunnyday, superpower, swagger, sweetscent, swift, swordsdance, taunt, thief, thrash, throatchop, thunderpunch, torment, toxic, uproar, workup, zapcannon"
Slugma,Fire,NULL,40,40,40,70,40,20,Magma Armor,Flame Body,Weak Armor,"acidarmor, afteryou, amnesia, ancientpower, attract, bodyslam, captivate, clearsmog, confide, curse, defensecurl, doubleedge, doubleteam, earthpower, ember, endure, facade, fireblast, flameburst, flamecharge, flamethrower, frustration, guardswap, harden, heatwave, hiddenpower, incinerate, inferno, infestation, irondefense, lavaplume, lightscreen, memento, mimic, mudslap, naturalgift, naturepower, overheat, painsplit, protect, recover, reflect, rest, return, rockslide, rocksmash, rockthrow, rocktomb, rollout, round, secretpower, selfdestruct, sleeptalk, smog, smokescreen, snore, spitup, stockpile, substitute, sunnyday, swagger, swallow, toxic, willowisp, yawn"
Magcargo,Fire,Rock,60,50,120,90,80,30,Magma Armor,Flame Body,Weak Armor,"afteryou, amnesia, ancientpower, attract, bodyslam, bulldoze, captivate, clearsmog, confide, curse, defensecurl, doubleedge, doubleteam, earthpower, earthquake, ember, endure, explosion, facade, fireblast, flameburst, flamecharge, flamethrower, frustration, gigaimpact, gyroball, harden, heatwave, hiddenpower, hyperbeam, incinerate, infestation, irondefense, lavaplume, lightscreen, mimic, mudslap, naturalgift, naturepower, overheat, painsplit, protect, recover, reflect, refresh, rest, return, rockpolish, rockslide, rocksmash, rockthrow, rocktomb, rollout, round, sandstorm, secretpower, selfdestruct, shellsmash, sleeptalk, smackdown, smog, snore, solarbeam, stealthrock, stompingtantrum, stoneedge, strength, substitute, sunnyday, swagger, toxic, willowisp, yawn"
Swinub,Ice,Ground,50,50,40,30,30,50,Oblivious,Snow Cloak,Thick Fat,"amnesia, ancientpower, attract, avalanche, bite, blizzard, bodyslam, bulldoze, captivate, charm, confide, curse, defensecurl, detect, dig, doubleedge, doubleteam, earthpower, earthquake, endeavor, endure, facade, fissure, flail, freezedry, frustration, hail, headbutt, hiddenpower, icebeam, iceshard, iciclecrash, iciclespear, icywind, lightscreen, mimic, mist, mudbomb, mudshot, mudslap, mudsport, naturalgift, odorsleuth, powdersnow, protect, raindance, reflect, rest, return, roar, rockslide, rocksmash, rocktomb, round, sandstorm, sandtomb, scaryface, secretpower, sleeptalk, snore, stealthrock, strength, substitute, superpower, swagger, tackle, takedown, toxic"
Piloswine,Ice,Ground,100,100,80,60,60,50,Oblivious,Snow Cloak,Thick Fat,"amnesia, ancientpower, attract, avalanche, blizzard, bodyslam, bulldoze, captivate, confide, curse, defensecurl, detect, dig, doubleedge, doubleteam, earthpower, earthquake, endeavor, endure, facade, flail, frustration, furyattack, gigaimpact, hail, headbutt, hiddenpower, highhorsepower, hornattack, hyperbeam, icebeam, icefang, iceshard, iciclespear, icywind, lightscreen, mimic, mist, mudbomb, mudshot, mudslap, mudsport, naturalgift, odorsleuth, peck, powdersnow, protect, raindance, reflect, rest, return, roar, rockslide, rocksmash, rocktomb, round, sandstorm, sandtomb, scaryface, secretpower, sleeptalk, snore, stealthrock, stompingtantrum, stoneedge, strength, substitute, superpower, swagger, tackle, takedown, thrash, toxic"
Corsola,Water,Rock,65,55,95,65,95,35,Hustle,Natural Cure,Regenerator,"amnesia, ancientpower, aquaring, attract, barrier, bide, blizzard, bodyslam, brine, bubble, bubblebeam, bulldoze, calmmind, camouflage, captivate, confide, confuseray, curse, defensecurl, dig, doubleedge, doubleteam, earthpower, earthquake, endeavor, endure, explosion, facade, flail, frustration, hail, harden, headbutt, headsmash, hiddenpower, hydropump, icebeam, iciclespear, icywind, ingrain, irondefense, lifedew, lightscreen, liquidation, luckychant, magiccoat, meteorbeam, mimic, mirrorcoat, mist, mudslap, mudsport, naturalgift, naturepower, powergem, protect, psychic, raindance, recover, reflect, refresh, rest, return, rockblast, rockpolish, rockslide, rocksmash, rocktomb, rollout, round, safeguard, sandstorm, scald, screech, secretpower, selfdestruct, shadowball, sleeptalk, snore, spikecannon, stealthrock, stompingtantrum, stoneedge, strength, substitute, suckerpunch, sunnyday, surf, swagger, tackle, throatchop, toxic, watergun, waterpulse, whirlpool"
Remoraid,Water,NULL,35,65,35,65,35,65,Hustle,Sniper,Moody,"acidspray, assurance, attract, aurorabeam, blizzard, bounce, brine, bubblebeam, bulletseed, captivate, chargebeam, confide, curse, defensecurl, dive, doubleedge, doubleteam, endure, entrainment, facade, fireblast, flail, flamethrower, focusenergy, frustration, gunkshot, haze, helpinghand, hiddenpower, hydropump, hyperbeam, icebeam, icywind, incinerate, lockon, mimic, mudshot, mudslap, naturalgift, octazooka, protect, psybeam, psychic, raindance, rest, return, rockblast, round, scald, screech, secretpower, seedbomb, signalbeam, sleeptalk, smackdown, snore, soak, stringshot, substitute, sunnyday, supersonic, surf, swagger, swift, thief, thunderwave, toxic, waterfall, watergun, waterpulse, waterspout, whirlpool"
Octillery,Water,NULL,75,105,75,105,75,45,Suction Cups,Sniper,Moody,"assurance, attract, aurorabeam, bind, blizzard, bounce, brine, bubblebeam, bulletseed, captivate, chargebeam, confide, constrict, curse, defensecurl, dive, doubleedge, doubleteam, endure, energyball, facade, fireblast, flamethrower, flashcannon, focusenergy, frustration, gigaimpact, gunkshot, helpinghand, hiddenpower, hydropump, hyperbeam, icebeam, icywind, incinerate, liquidation, lockon, mimic, mudshot, mudslap, naturalgift, octazooka, payback, protect, psybeam, psychic, raindance, rest, return, rockblast, round, scald, screech, secretpower, seedbomb, seismictoss, signalbeam, skittersmack, sleeptalk, sludgebomb, sludgewave, smackdown, snore, soak, stringshot, substitute, sunnyday, surf, swagger, swift, thief, thunderwave, toxic, waterfall, watergun, waterpulse, whirlpool, wrap, wringout"
Delibird,Ice,Flying,45,55,45,65,45,75,Vital Spirit,Hustle,Insomnia,"aerialace, agility, assurance, attract, aurorabeam, auroraveil, avalanche, batonpass, bestow, blizzard, bodyslam, bounce, bravebird, brickbreak, brutalswing, captivate, confide, counter, curse, defog, destinybond, detect, doubleedge, doubleteam, drillpeck, drillrun, dualwingbeat, endure, facade, fakeout, fling, fly, focuspunch, freezedry, frostbreath, frustration, futuresight, gunkshot, hail, happyhour, headbutt, helpinghand, hiddenpower, iceball, icebeam, icepunch, iceshard, iciclespear, icywind, megakick, megapunch, memento, mimic, mudslap, naturalgift, pluck, poweruppunch, present, protect, quickattack, raindance, rapidspin, recycle, rest, return, rollout, round, secretpower, seedbomb, seismictoss, signalbeam, skyattack, sleeptalk, snore, spikes, splash, steelwing, substitute, swagger, swift, thief, toxic, tripleaxel, waterpulse, weatherball"
Mantine,Water,Flying,85,40,70,80,140,70,Swift Swim,Water Absorb,Water Veil,"acrobatics, aerialace, agility, aircutter, airslash, amnesia, aquaring, aquatail, assurance, attract, blizzard, bodypress, bodyslam, bounce, brine, bubble, bubblebeam, bulldoze, bulletseed, captivate, confide, confuseray, curse, defog, dive, doubleedge, doubleteam, dualwingbeat, earthquake, endure, facade, frustration, gigaimpact, gunkshot, hail, haze, headbutt, helpinghand, hiddenpower, hurricane, hydropump, hyperbeam, icebeam, icywind, ironhead, liquidation, mimic, mirrorcoat, mudslap, mudsport, naturalgift, protect, psybeam, raindance, rest, return, rockblast, rockslide, rocktomb, roost, round, scald, secretpower, seedbomb, signalbeam, slam, sleeptalk, snore, splash, stringshot, substitute, supersonic, surf, swagger, swift, tackle, tailwind, takedown, toxic, twister, waterfall, watergun, waterpulse, watersport, whirlpool, wideguard, wingattack"
Skarmory,Steel,Flying,65,80,140,40,70,70,Keen Eye,Sturdy,Weak Armor,"aerialace, agility, aircutter, airslash, assurance, attract, autotomize, bodypress, bravebird, captivate, confide, counter, curse, cut, darkpulse, defog, detect, doubleedge, doubleteam, drillpeck, dualwingbeat, endure, facade, feint, flash, flashcannon, fly, frustration, furyattack, furycutter, guardswap, hiddenpower, icywind, irondefense, ironhead, leer, metalclaw, metalsound, mimic, mudslap, naturalgift, nightslash, ominouswind, payback, peck, pluck, protect, pursuit, rest, return, roar, rockslide, rocksmash, rocktomb, roost, round, sandattack, sandstorm, sandtomb, secretpower, skyattack, skydrop, slash, sleeptalk, snore, spikes, stealthrock, steelbeam, steelwing, substitute, sunnyday, swagger, swift, swordsdance, tailwind, taunt, thief, torment, toxic, twister, whirlwind, wingattack, xscissor"
Houndour,Dark,Fire,45,60,30,80,50,65,Early Bird,Flash Fire,Unnerve,"attract, beatup, bite, bodyslam, captivate, charm, confide, counter, crunch, curse, darkpulse, destinybond, detect, doubleedge, doubleteam, dreameater, embargo, ember, endure, facade, feint, feintattack, fireblast, firefang, firespin, flamecharge, flamethrower, foulplay, frustration, headbutt, heatwave, hiddenpower, howl, hypervoice, incinerate, inferno, irontail, leer, mimic, mudslap, nastyplot, naturalgift, nightmare, odorsleuth, overheat, payback, protect, punishment, pursuit, rage, rest, retaliate, return, reversal, roar, rocksmash, roleplay, round, secretpower, shadowball, sleeptalk, sludgebomb, smog, snarl, snatch, snore, solarbeam, spite, substitute, suckerpunch, sunnyday, superfang, swagger, swift, taunt, thief, thunderfang, torment, toxic, uproar, willowisp"
Houndoom,Dark,Fire,75,90,50,110,80,95,Early Bird,Flash Fire,Unnerve,"attract, beatup, bite, bodyslam, captivate, confide, counter, crunch, curse, darkpulse, detect, doubleedge, doubleteam, dreameater, embargo, ember, endure, facade, feintattack, fireblast, firefang, flamecharge, flamethrower, foulplay, frustration, gigaimpact, headbutt, heatwave, hiddenpower, howl, hyperbeam, hypervoice, incinerate, inferno, irontail, laserfocus, leer, mimic, mudslap, nastyplot, naturalgift, nightmare, odorsleuth, overheat, payback, protect, rest, retaliate, return, roar, rocksmash, roleplay, round, secretpower, shadowball, sleeptalk, sludgebomb, smog, snarl, snatch, snore, solarbeam, spite, strength, substitute, suckerpunch, sunnyday, superfang, swagger, swift, taunt, thief, throatchop, thunderfang, torment, toxic, uproar, willowisp"
Kingdra,Water,Dragon,75,95,95,95,95,85,Swift Swim,Sniper,Damp,"agility, attract, blizzard, bodyslam, bounce, breakingswipe, brine, bubble, bubblebeam, captivate, confide, curse, dive, doubleedge, doubleteam, dracometeor, dragonbreath, dragondance, dragonpulse, endure, facade, flashcannon, flipturn, focusenergy, frustration, gigaimpact, hail, headbutt, hiddenpower, hurricane, hydropump, hyperbeam, icebeam, icywind, ironhead, laserfocus, leer, liquidation, mimic, muddywater, naturalgift, outrage, protect, quash, raindance, rest, return, round, scald, scaleshot, secretpower, signalbeam, sleeptalk, smokescreen, snore, substitute, surf, swagger, swift, toxic, twister, waterfall, watergun, waterpulse, whirlpool, yawn"
Phanpy,Ground,NULL,90,60,60,40,40,40,Pickup,Sand Veil,NULL,"ancientpower, attract, bodyslam, bulldoze, captivate, charm, confide, counter, curse, defensecurl, doubleedge, doubleteam, earthpower, earthquake, echoedvoice, endeavor, endure, facade, fissure, flail, focusenergy, frustration, growl, gunkshot, headbutt, headsmash, heavyslam, hiddenpower, highhorsepower, hypervoice, iceshard, irontail, knockoff, lastresort, mimic, mudslap, naturalgift, odorsleuth, playrough, protect, rest, return, roar, rockslide, rocksmash, rocktomb, rollout, round, sandstorm, secretpower, seedbomb, slam, sleeptalk, snore, stealthrock, strength, substitute, sunnyday, superpower, swagger, tackle, takedown, toxic, watergun"
Donphan,Ground,NULL,90,120,120,60,60,50,Sturdy,Sand Veil,NULL,"ancientpower, assurance, attract, block, bodyslam, bounce, brutalswing, bulldoze, captivate, confide, counter, curse, defensecurl, doubleedge, doubleteam, earthpower, earthquake, echoedvoice, endeavor, endure, facade, firefang, flail, frustration, furyattack, gigaimpact, growl, gunkshot, gyroball, headbutt, hiddenpower, hornattack, hyperbeam, hypervoice, irondefense, irontail, knockoff, lastresort, magnitude, mimic, mudslap, naturalgift, odorsleuth, poisonjab, protect, rapidspin, rest, return, roar, rockpolish, rockslide, rocksmash, rocktomb, rollout, round, sandstorm, scaryface, secretpower, seedbomb, slam, sleeptalk, snore, stealthrock, stompingtantrum, stoneedge, strength, substitute, sunnyday, superpower, swagger, thunderfang, toxic"
Porygon2,Normal,NULL,85,80,90,105,95,60,Trace,Download,Analytic,"aerialace, agility, allyswitch, blizzard, chargebeam, confide, conversion, conversion2, curse, defensecurl, discharge, doubleedge, doubleteam, dreameater, eerieimpulse, electroweb, endure, facade, flash, foulplay, frustration, gigaimpact, gravity, guardswap, hiddenpower, hyperbeam, icebeam, icywind, irontail, lastresort, lockon, magiccoat, magnetrise, mimic, naturalgift, nightmare, painsplit, powerswap, protect, psybeam, psychic, psychup, psyshock, raindance, recover, recycle, rest, return, round, secretpower, shadowball, shockwave, signalbeam, sleeptalk, snore, solarbeam, speedswap, substitute, sunnyday, swagger, swift, tackle, telekinesis, thief, thunder, thunderbolt, thundershock, thunderwave, toxic, triattack, trick, trickroom, wonderroom, zapcannon, zenheadbutt"
Stantler,Normal,NULL,73,95,62,85,65,85,Intimidate,Frisk,Sap Sipper,"astonish, attract, bite, bodyslam, bounce, bulldoze, calmmind, captivate, chargebeam, confide, confuseray, curse, detect, disable, doubleedge, doublekick, doubleteam, dreameater, earthquake, endure, energyball, extrasensory, facade, flash, frustration, gigaimpact, gravity, headbutt, hiddenpower, hypnosis, imprison, irontail, jumpkick, lastresort, leer, lightscreen, magicroom, mefirst, megahorn, mimic, mudslap, mudsport, naturalgift, nightmare, protect, psychic, psychup, psyshock, rage, raindance, reflect, rest, retaliate, return, roar, roleplay, round, sandattack, secretpower, shadowball, shockwave, signalbeam, skillswap, sleeptalk, snore, solarbeam, spite, stomp, substitute, suckerpunch, sunnyday, swagger, swift, tackle, takedown, thief, thrash, throatchop, thunder, thunderbolt, thunderwave, toxic, trickroom, uproar, wildcharge, workup, zenheadbutt"
Smeargle,Normal,NULL,55,20,35,20,45,75,Own Tempo,Technician,Moody,"captivate, falseswipe, flamethrower, furyswipes, meanlook, odorsleuth, seismictoss, sketch, sleeptalk, spore"
Tyrogue,Fighting,NULL,35,35,35,35,35,35,Guts,Steadfast,Vital Spirit,"attract, bodyslam, brickbreak, bulkup, bulldoze, bulletpunch, captivate, confide, counter, covet, curse, detect, doubleedge, doubleteam, earthquake, endure, facade, fakeout, feint, focusenergy, foresight, frustration, headbutt, helpinghand, hiddenpower, highjumpkick, laserfocus, lowkick, lowsweep, machpunch, megakick, megapunch, mimic, mindreader, mudslap, naturalgift, protect, pursuit, raindance, rapidspin, rest, retaliate, return, rockslide, rocksmash, roleplay, round, secretpower, seismictoss, sleeptalk, snore, strength, substitute, sunnyday, swagger, swift, tackle, thief, toxic, uproar, vacuumwave, workup"
Hitmontop,Fighting,NULL,50,95,95,35,110,70,Intimidate,Technician,Steadfast,"aerialace, agility, attract, bodyslam, brickbreak, brutalswing, bulkup, bulldoze, captivate, closecombat, coaching, confide, counter, covet, curse, detect, dig, doubleedge, doubleteam, drillrun, earthquake, endeavor, endure, facade, fakeout, feint, focusblast, focusenergy, frustration, gyroball, headbutt, helpinghand, hiddenpower, laserfocus, lowkick, lowsweep, megakick, megapunch, mimic, mudslap, naturalgift, protect, pursuit, quickattack, quickguard, raindance, rapidspin, rest, retaliate, return, revenge, rockslide, rocksmash, roleplay, rollingkick, rollout, round, sandstorm, secretpower, seismictoss, sleeptalk, snore, stoneedge, strength, substitute, suckerpunch, sunnyday, swagger, swift, tackle, thief, toxic, tripleaxel, triplekick, twister, uproar, vacuumwave, wideguard, workup"
Smoochum,Ice,Psychic,45,30,15,85,65,65,Oblivious,Forewarn,Hydration,"attract, auroraveil, avalanche, blizzard, bodyslam, calmmind, captivate, charm, confide, confusion, copycat, counter, covet, curse, doubleedge, doubleteam, drainingkiss, dreameater, dynamicpunch, echoedvoice, encore, endure, facade, fakeout, faketears, flash, fling, frostbreath, frustration, grassknot, hail, healbell, heartstamp, helpinghand, hiddenpower, icebeam, icepunch, icywind, lick, lightscreen, luckychant, magiccoat, magicroom, meanlook, meditate, megakick, megapunch, metronome, mimic, miracleeye, mudslap, nastyplot, naturalgift, nightmare, payback, perishsong, pound, powdersnow, protect, psychic, psychup, psyshock, raindance, recycle, reflect, rest, return, roleplay, round, secretpower, seismictoss, shadowball, signalbeam, sing, skillswap, sleeptalk, snore, storedpower, substitute, swagger, sweetkiss, sweetscent, thief, toxic, trick, trickroom, uproar, wakeupslap, waterpulse, wish, wonderroom, zenheadbutt"
Elekid,Electric,NULL,45,63,37,65,55,95,Static,Vital Spirit,NULL,"attract, barrier, bodyslam, brickbreak, captivate, charge, chargebeam, confide, counter, covet, crosschop, curse, detect, discharge, doubleedge, doubleteam, dualchop, dynamicpunch, electroball, electroweb, endure, facade, feint, firepunch, flash, fling, focuspunch, frustration, hammerarm, headbutt, helpinghand, hiddenpower, icepunch, karatechop, leer, lightscreen, lowkick, magnetrise, meditate, megakick, megapunch, mimic, mudslap, naturalgift, poweruppunch, protect, psychic, quickattack, raindance, rest, return, rocksmash, rollingkick, round, screech, secretpower, seismictoss, shockwave, signalbeam, sleeptalk, snore, substitute, swagger, swift, thief, thunder, thunderbolt, thunderpunch, thundershock, thunderwave, toxic, uproar, voltswitch, wildcharge, zapcannon"
Magby,Fire,NULL,45,75,37,70,55,83,Flame Body,Vital Spirit,NULL,"attract, barrier, belch, bellydrum, bodyslam, brickbreak, captivate, clearsmog, confide, confuseray, counter, covet, crosschop, curse, detect, doubleedge, doubleteam, dualchop, dynamicpunch, ember, endure, facade, feintattack, fireblast, firepunch, firespin, flameburst, flamecharge, flamethrower, flamewheel, flareblitz, fling, focusenergy, focuspunch, frustration, headbutt, heatwave, helpinghand, hiddenpower, incinerate, irontail, karatechop, lavaplume, leer, lowkick, machpunch, megakick, megapunch, mimic, mudslap, naturalgift, overheat, powerswap, poweruppunch, protect, psychic, rest, return, rocksmash, round, scaryface, screech, secretpower, seismictoss, sleeptalk, smog, smokescreen, snore, substitute, sunnyday, swagger, thief, thunderpunch, toxic, uproar, willowisp"
Miltank,Normal,NULL,95,80,105,40,70,100,Thick Fat,Scrappy,Sap Sipper,"afteryou, attract, belch, bide, blizzard, block, bodypress, bodyslam, brickbreak, bulldoze, captivate, charm, confide, counter, curse, defensecurl, dizzypunch, doubleedge, doubleteam, dynamicpunch, earthquake, echoedvoice, endure, facade, firepunch, fling, focusblast, focuspunch, frustration, gigaimpact, growl, gyroball, hammerarm, headbutt, healbell, heartstamp, heavyslam, helpinghand, hiddenpower, highhorsepower, hyperbeam, icebeam, icepunch, icywind, ironhead, irontail, megakick, megapunch, metronome, milkdrink, mimic, mudslap, naturalgift, playrough, poweruppunch, present, protect, psychup, punishment, raindance, rest, retaliate, return, reversal, rockslide, rocksmash, rocktomb, rollout, round, sandstorm, secretpower, seismictoss, shadowball, shockwave, sleeptalk, snore, solarbeam, stealthrock, steelroller, stomp, stompingtantrum, strength, substitute, sunnyday, surf, swagger, sweetscent, tackle, thunder, thunderbolt, thunderpunch, thunderwave, toxic, wakeupslap, waterpulse, whirlpool, workup, zapcannon, zenheadbutt"
Blissey,Normal,NULL,255,10,10,75,135,55,Natural Cure,Serene Grace,Healer,"allyswitch, attract, avalanche, bestow, blizzard, block, bodyslam, brickbreak, bulldoze, calmmind, captivate, chargebeam, charm, confide, copycat, counter, covet, curse, dazzlinggleam, defensecurl, disarmingvoice, doubleedge, doubleslap, doubleteam, drainpunch, dreameater, dynamicpunch, earthquake, echoedvoice, eggbomb, endeavor, endure, facade, fireblast, firepunch, flamethrower, flash, fling, focusblast, focuspunch, frustration, gigaimpact, grassknot, gravity, growl, hail, headbutt, healbell, healingwish, healpulse, helpinghand, hiddenpower, hyperbeam, hypervoice, icebeam, icepunch, icywind, incinerate, irontail, laserfocus, lastresort, lifedew, lightscreen, megakick, megapunch, metronome, mimic, minimize, mudslap, naturalgift, pound, poweruppunch, protect, psychic, psychup, raindance, recycle, refresh, rest, retaliate, return, rockclimb, rockslide, rocksmash, rocktomb, rollout, round, safeguard, sandstorm, secretpower, seismictoss, shadowball, shockwave, sing, skillswap, sleeptalk, snatch, snore, softboiled, solarbeam, stealthrock, stompingtantrum, storedpower, strength, substitute, sunnyday, swagger, sweetkiss, tailwhip, takedown, telekinesis, thunder, thunderbolt, thunderpunch, thunderwave, toxic, triattack, uproar, waterpulse, wildcharge, workup, zapcannon, zenheadbutt"
Raikou,Electric,NULL,90,85,75,115,100,115,Pressure,Inner Focus,NULL,"agility, aurasphere, bite, bodyslam, bulldoze, calmmind, charge, chargebeam, confide, crunch, curse, cut, detect, dig, discharge, doubleedge, doubleteam, eerieimpulse, electricterrain, endure, extrasensory, extremespeed, facade, flash, frustration, gigaimpact, headbutt, helpinghand, hiddenpower, howl, hyperbeam, ironhead, irontail, laserfocus, leer, lightscreen, magnetrise, mimic, mudslap, naturalgift, protect, psychup, quash, quickattack, raindance, reflect, rest, return, risingvoltage, roar, rockclimb, rocksmash, round, sandstorm, scald, secretpower, shadowball, shockwave, signalbeam, sleeptalk, snarl, snore, spark, strength, substitute, sunnyday, swagger, swift, throatchop, thunder, thunderbolt, thunderfang, thundershock, thunderwave, toxic, voltswitch, weatherball, wildcharge, zapcannon"
Entei,Fire,NULL,115,115,85,90,75,100,Pressure,Inner Focus,NULL,"agility, bite, bodyslam, bulldoze, calmmind, confide, crunch, crushclaw, curse, cut, detect, dig, doubleedge, doubleteam, ember, endure, eruption, extrasensory, extremespeed, facade, fireblast, firefang, firespin, flamecharge, flamethrower, flamewheel, flareblitz, flash, frustration, gigaimpact, headbutt, heatwave, helpinghand, hiddenpower, howl, hyperbeam, incinerate, ironhead, irontail, laserfocus, lavaplume, leer, mimic, mudslap, naturalgift, overheat, protect, psychup, quash, raindance, reflect, rest, return, reversal, roar, rockclimb, rocksmash, round, sacredfire, sandstorm, scaryface, scorchingsands, secretpower, shadowball, sleeptalk, smokescreen, snarl, snore, solarbeam, stomp, stompingtantrum, stoneedge, strength, substitute, sunnyday, swagger, swift, toxic, weatherball, willowisp"
Suicune,Water,NULL,100,75,115,90,115,85,Pressure,Inner Focus,NULL,"agility, airslash, aquaring, aurorabeam, avalanche, bite, blizzard, bodyslam, brine, bubblebeam, bulldoze, calmmind, confide, crunch, curse, cut, detect, dig, dive, doubleedge, doubleteam, endure, extrasensory, extremespeed, facade, frustration, gigaimpact, gust, hail, headbutt, helpinghand, hiddenpower, hydropump, hyperbeam, icebeam, icefang, icywind, ironhead, irontail, laserfocus, leer, liquidation, mimic, mirrorcoat, mist, mudslap, naturalgift, ominouswind, protect, psychup, quash, raindance, reflect, rest, return, roar, rockclimb, rocksmash, round, sandstorm, scald, secretpower, shadowball, sheercold, signalbeam, sleeptalk, snarl, snore, substitute, sunnyday, surf, swagger, swift, tailwind, toxic, waterfall, watergun, waterpulse, weatherball, whirlpool"
Larvitar,Rock,Ground,50,64,50,45,50,41,Guts,Sand Veil,NULL,"ancientpower, assurance, attract, bite, bodyslam, brickbreak, bulldoze, captivate, chipaway, confide, crunch, curse, darkpulse, detect, dig, doubleedge, doubleteam, dragondance, earthpower, earthquake, endure, facade, focusenergy, frustration, headbutt, hiddenpower, hyperbeam, irondefense, ironhead, irontail, leer, mimic, muddywater, mudslap, naturalgift, outrage, payback, poweruppunch, protect, pursuit, raindance, rest, retaliate, return, rockpolish, rockslide, rocksmash, rockthrow, rocktomb, round, sandstorm, sandtomb, scaryface, screech, secretpower, sleeptalk, smackdown, snarl, snore, spite, stealthrock, stomp, stompingtantrum, stoneedge, substitute, sunnyday, superpower, swagger, tackle, taunt, thrash, torment, toxic, uproar"
Pupitar,Rock,Ground,70,84,70,65,70,51,Shed Skin,NULL,NULL,"ancientpower, assurance, attract, bite, bodyslam, brickbreak, bulldoze, captivate, chipaway, confide, crunch, curse, darkpulse, detect, dig, doubleedge, doubleteam, dragondance, earthpower, earthquake, endure, facade, focusenergy, frustration, headbutt, hiddenpower, hyperbeam, irondefense, ironhead, irontail, leer, mimic, muddywater, mudslap, naturalgift, outrage, payback, poweruppunch, protect, raindance, rest, retaliate, return, rockpolish, rockslide, rocksmash, rockthrow, rocktomb, round, sandstorm, sandtomb, scaryface, screech, secretpower, sleeptalk, smackdown, snarl, snore, spite, stealthrock, stompingtantrum, stoneedge, substitute, sunnyday, superpower, swagger, tackle, taunt, thrash, torment, toxic, uproar"
Tyranitar,Rock,Dark,100,134,110,95,100,61,Sand Stream,Unnerve,NULL,"aerialace, ancientpower, aquatail, assurance, attract, avalanche, bite, blizzard, block, bodypress, bodyslam, breakingswipe, brickbreak, brutalswing, bulldoze, captivate, chipaway, confide, counter, crunch, curse, cut, darkpulse, detect, dig, doubleedge, doubleteam, dragonbreath, dragonclaw, dragondance, dragonpulse, dragontail, dynamicpunch, earthpower, earthquake, endure, facade, fireblast, firefang, firepunch, flamethrower, fling, focusblast, focusenergy, focuspunch, foulplay, frustration, furycutter, gigaimpact, headbutt, heavyslam, hiddenpower, highhorsepower, honeclaws, hydropump, hyperbeam, icebeam, icefang, icepunch, incinerate, irondefense, ironhead, irontail, lashout, leer, lowkick, megakick, megapunch, mimic, muddywater, mudslap, naturalgift, nightmare, outrage, payback, poweruppunch, protect, raindance, rest, retaliate, return, revenge, roar, rockblast, rockclimb, rockpolish, rockslide, rocksmash, rockthrow, rocktomb, round, sandstorm, sandtomb, scaryface, screech, secretpower, seismictoss, shadowclaw, shockwave, sleeptalk, smackdown, snarl, snore, spite, stealthrock, stompingtantrum, stoneedge, strength, substitute, sunnyday, superpower, surf, swagger, tackle, taunt, thrash, thunder, thunderbolt, thunderfang, thunderpunch, thunderwave, torment, toxic, uproar, waterpulse, whirlpool"
Lugia,Psychic,Flying,106,90,130,90,154,110,Pressure,Multiscale,NULL,"aerialace, aeroblast, aircutter, airslash, ancientpower, aquatail, avalanche, blizzard, bodyslam, brine, bulldoze, calmmind, chargebeam, confide, curse, defog, detect, dive, doubleedge, doubleteam, dragonbreath, dragonpulse, dragonrush, dragontail, dreameater, dualwingbeat, earthpower, earthquake, echoedvoice, endure, extrasensory, facade, featherdance, flash, fly, frustration, futuresight, gigadrain, gigaimpact, gust, hail, headbutt, helpinghand, hiddenpower, hurricane, hydropump, hyperbeam, hypervoice, icebeam, icywind, imprison, ironhead, irontail, laserfocus, lightscreen, mimic, mist, mudslap, naturalgift, nightmare, ominouswind, protect, psychic, psychoboost, psychup, psyshock, punishment, raindance, recover, reflect, rest, return, roar, rocksmash, roost, round, safeguard, sandstorm, scaleshot, secretpower, shadowball, shockwave, signalbeam, skillswap, skyattack, skydrop, sleeptalk, snore, steelwing, strength, substitute, sunnyday, surf, swagger, swift, tailwind, telekinesis, thunder, thunderbolt, thunderwave, toxic, trick, twister, waterfall, waterpulse, weatherball, whirlpool, whirlwind, wonderroom, zapcannon, zenheadbutt"
